UserID,Age,Gender,FitnessGoal,ActivityPreference,CurrentFitnessLevel,BodyMassIndex,HealthConditions,TimeAvailability,DietPreference,RecommendedWorkout,RecommendedDiet
U0001,58,Male,Weight Loss,Yoga,Advanced,27.9,Hypertension,7,Non-Vegetarian,Yoga,High-Protein
U0002,36,Non-Binary,Muscle Gain,Strength Training,Intermediate,29.1,Diabetes,3,Vegetarian,HIIT,Low-Carb
U0003,45,Non-Binary,Weight Loss,Cardio,Intermediate,21.5,Asthma,1,Keto,Swimming,Calorie-Deficit
U0004,45,Male,Endurance,Strength Training,Beginner,18.6,Hypertension,9,Vegan,HIIT,Low-Carb
U0005,31,Non-Binary,Muscle Gain,Strength Training,Beginner,19.4,None,7,Vegan,Weightlifting,Calorie-Deficit
U0006,51,Non-Binary,General Fitness,Cardio,Beginner,23.6,None,6,Vegan,Yoga,Calorie-Deficit
U0007,19,Female,Endurance,Swimming,Intermediate,24.6,Hypertension,6,Non-Vegetarian,Weightlifting,Calorie-Deficit
U0008,26,Male,General Fitness,Swimming,Intermediate,20.8,Hypertension,9,Vegan,HIIT,High-Protein
U0009,41,Non-Binary,Weight Loss,Strength Training,Intermediate,23.2,None,6,Non-Vegetarian,Swimming,Calorie-Deficit
U0010,24,Male,Endurance,Yoga,Beginner,29.5,None,5,Vegetarian,HIIT,Calorie-Deficit
U0011,43,Female,General Fitness,Strength Training,Advanced,19.0,None,10,Vegetarian,Yoga,Low-Carb
U0012,57,Male,General Fitness,Swimming,Advanced,24.0,None,3,Vegan,Weightlifting,Low-Carb
U0013,60,Non-Binary,Endurance,Strength Training,Advanced,26.8,Asthma,9,Non-Vegetarian,Yoga,High-Protein
U0014,54,Male,General Fitness,Yoga,Advanced,19.9,Hypertension,7,Vegetarian,Weightlifting,High-Protein
U0015,31,Non-Binary,Endurance,Swimming,Beginner,26.7,Asthma,10,Vegan,Yoga,Low-Carb
U0016,34,Female,Weight Loss,Swimming,Intermediate,25.6,Asthma,7,Vegetarian,Weightlifting,High-Protein
U0017,32,Female,Weight Loss,Yoga,Intermediate,21.5,None,2,Vegan,Swimming,Balanced
U0018,32,Non-Binary,Muscle Gain,Strength Training,Beginner,23.1,None,5,Keto,HIIT,Calorie-Deficit
U0019,36,Non-Binary,Weight Loss,Strength Training,Advanced,18.7,Diabetes,3,Non-Vegetarian,Weightlifting,High-Protein
U0020,31,Female,Muscle Gain,Yoga,Intermediate,18.7,Asthma,2,Non-Vegetarian,Weightlifting,High-Protein
U0021,24,Female,Muscle Gain,Strength Training,Advanced,22.4,Hypertension,6,Keto,Weightlifting,High-Protein
U0022,42,Male,General Fitness,Swimming,Beginner,25.4,Hypertension,1,Vegan,Weightlifting,High-Protein
U0023,32,Non-Binary,Endurance,Cardio,Beginner,29.3,Diabetes,10,Vegan,HIIT,High-Protein
U0024,24,Non-Binary,Weight Loss,Strength Training,Beginner,28.2,Asthma,2,Keto,Swimming,Calorie-Deficit
U0025,43,Female,Weight Loss,Strength Training,Intermediate,29.2,Hypertension,5,Non-Vegetarian,HIIT,High-Protein
U0026,22,Female,General Fitness,Yoga,Beginner,24.9,Hypertension,5,Keto,Swimming,Balanced
U0027,25,Non-Binary,Weight Loss,Cardio,Intermediate,28.5,Diabetes,5,Vegan,Weightlifting,Low-Carb
U0028,50,Female,Muscle Gain,Strength Training,Advanced,24.9,None,10,Vegetarian,Swimming,Balanced
U0029,56,Female,Weight Loss,Swimming,Intermediate,28.2,None,1,Vegan,HIIT,Balanced
U0030,22,Female,Endurance,Swimming,Advanced,18.9,Asthma,4,Non-Vegetarian,Swimming,Calorie-Deficit
U0031,48,Male,Endurance,Cardio,Beginner,21.4,Diabetes,1,Non-Vegetarian,Swimming,Low-Carb
U0032,26,Non-Binary,Muscle Gain,Cardio,Intermediate,25.8,Asthma,3,Vegan,Swimming,Calorie-Deficit
U0033,59,Female,Weight Loss,Swimming,Advanced,22.9,None,4,Vegan,HIIT,Balanced
U0034,20,Non-Binary,Endurance,Swimming,Beginner,26.8,Asthma,2,Vegetarian,Yoga,Balanced
U0035,55,Female,Endurance,Strength Training,Advanced,22.5,None,10,Non-Vegetarian,Weightlifting,Calorie-Deficit
U0036,55,Male,Weight Loss,Yoga,Beginner,26.2,Diabetes,9,Non-Vegetarian,Yoga,High-Protein
U0037,39,Male,General Fitness,Strength Training,Intermediate,18.6,Hypertension,6,Keto,HIIT,Calorie-Deficit
U0038,21,Female,General Fitness,Yoga,Intermediate,24.7,Hypertension,7,Vegetarian,Yoga,Calorie-Deficit
U0039,48,Female,General Fitness,Cardio,Intermediate,23.7,Hypertension,6,Non-Vegetarian,Swimming,Low-Carb
U0040,31,Female,Muscle Gain,Strength Training,Beginner,25.8,Hypertension,1,Non-Vegetarian,Swimming,High-Protein
U0041,56,Non-Binary,Weight Loss,Strength Training,Advanced,25.0,Hypertension,1,Vegan,Swimming,Balanced
U0042,48,Female,Endurance,Cardio,Advanced,19.7,Diabetes,9,Vegetarian,Yoga,Low-Carb
